#west
ozerna	28000x58000+7313000+6157000	р.Озерна
dubesh	37000x48000+7337000+6164000	р.Дубешня
isma	24000x63000+7320000+6101000	р.Исьма
nara	39000x49000+7334000+6119000	р.Нара
tresh	37000x17000+7369000+6118000	р.Трешня

# south
icha	46000x26000+7341000+6081000	р.Ича
vypr	24000x41000+7380000+6044000	р.Выпрейка
rech	47000x30000+7403000+6104000	р.Речица
sitava	55000x28000+7400000+6080000	Ситенка - Авангард (р.Лопасня)
vosma	60000x20000+7395000+6061000	р.Восьма
senn	48000x53000+7452000+6061000	р.Сенница
gorod	50000x46000+7437000+6107000	р.Городенка
bbel	13000x20000+7483000+6052000	Б.Белыничи

# east
semisl	24000x36000+7478000+6112000	р.Семиславка
doninka	12000x18000+7448000+6160000	р.Донинка
nersk	50000x38000+7452000+6144000	р.Нерская
polja	52000x27000+7492000+6135000	р.Поля
senga	30000x44000+7500000+6158000	р.Сеньга
ushma	30000x44000+7528000+6158000	р.Ушма
vojmega	27000x54000+7551000+6154000	р.Воймега
buzha	19000x36000+7575000+6154000	р.Бужа
kirzh	36000x77000+7464000+6177000	р.Киржач
sher	33000x53000+7498000+6192000	р.Шередарь

#north
dubna	40000x34000+7409000+6267000	р.Дубна
kubr	55000x51000+7445000+6250000	р.Кубрь
talitsa	40000x50000+7429000+6204000	.Талица
velja	40000x44000+7407000+6228000	р.Веля
ucha	30000x19000+7405000+6210000	р.Уча
volg	35000x38000+7374000+6211000	р.Волгуша
istra	27000x51000+7348000+6198000	р.Истра
jamuga	23000x12000+7331000+6248000	р.Ямуга
bsest	35000x41000+7315000+6208000	р.Б.Сестра
donh	64000x37000+7348000+6247000	р.Донховка

#
# zhuk	18000x84000+6470000+6228000	р.Жукопа

# TMP
# vosma1	60000x25000+7395000+6056000
# dugna 	34000x66000+7346000+5980000

# sp 100000x60000+7350000+6056000

